Minimums	Eclipse_#	O-C	O-C_Error
2459442.16122	7344.0	-0.05228	0.00057
2459442.47414	7345.0	-0.05233	0.00039
2459442.78703	7346.0	-0.05241	0.00056
2459443.10013	7347.0	-0.05228	0.00066
2459443.41315	7348.0	-0.05223	0.00079
2459443.72642	7349.0	-0.05193	0.00044
2459444.03900	7350.0	-0.05232	0.00085
2459444.35245	7351.0	-0.05184	0.00079
2459444.66420	7352.0	-0.05306	0.00061
2459444.97693	7353.0	-0.05330	0.00077
2459445.29037	7354.0	-0.05283	0.00055
2459445.60400	7355.0	-0.05217	0.00067
2459445.91704	7356.0	-0.05210	0.00077
2459446.22945	7357.0	-0.05266	0.00039
2459446.54237	7358.0	-0.05271	0.00052
2459579.86397	7784.0	-0.05633	0.00057
2459580.02144	7784.5	-0.05534	0.00074
2459580.17890	7785.0	-0.05437	0.00056
2459580.33509	7785.5	-0.05466	0.00052
2459580.48903	7786.0	-0.05720	0.00066
2459580.64521	7786.5	-0.05751	0.00070
2459580.80366	7787.0	-0.05555	0.00082
2459580.95992	7787.5	-0.05578	0.00043
2459581.11878	7788.0	-0.05340	0.00110
2459581.27296	7788.5	-0.05571	0.00053
2459581.43058	7789.0	-0.05457	0.00061
2459581.58697	7789.5	-0.05466	0.00058
2459581.74399	7790.0	-0.05413	0.00115
2459581.89970	7790.5	-0.05491	0.00058
2459582.05745	7791.0	-0.05364	0.00041
2459582.21240	7791.5	-0.05517	0.00044
2459582.36834	7792.0	-0.05572	0.00063
2459582.52509	7792.5	-0.05545	0.00051
2459582.68131	7793.0	-0.05572	0.00041
2459582.83785	7793.5	-0.05566	0.00045
2459582.99414	7794.0	-0.05586	0.00043
2459583.15064	7794.5	-0.05585	0.00048
2459583.30726	7795.0	-0.05571	0.00056
2459583.46369	7795.5	-0.05576	0.00043
